code,grades,question_number,prompt,image_url,correct_answer,alternative_answers,tolerance
Q26-MATH-G2-23,2,23,"3ta guldonda jami 21ta atirgul bor. 1-chi va 2-chi guldonda jami 14 ta atirlgul bo'lsa, uchinchi guldonda nechta atirgul bor?",/question-assets/admission-2026/math/g2/q23.png,7,,0
Q26-MATH-G2-24,2,24,Noma`lum sonni toping. X+45-10=34,/question-assets/admission-2026/math/g2/q24.png,-1,,0
Q26-MATH-G2-25,2,25,6 tonna 345 kg-1 tonna 566 kg=___________kg,/question-assets/admission-2026/math/g2/q25.png,4779,,0
Q26-MATH-G2-26,2,26,"Jirafaning og`irligi 2 tonna, fil jirafadan 3 tonna og`ir. Jirafa va filning umumiy og`irligini toping",/question-assets/admission-2026/math/g2/q26.png,7,,0
Q26-MATH-G2-27,2,27,"Uch do`st baliq oviga borishdi. Sobir 7 ta baliq tutdi, Nodir undan 1 ta ko`p baliq tutdi. Diyor esa Sobir va Nodir qancha baliq tutgan bo`lsa oshancha baliq tutdi. Uch do`st birgalikda nechta baliq tutgan?",/question-assets/admission-2026/math/g2/q27.png,30,,0
Q26-MATH-G2-28,2,28,Eng katta uch xonali sondan eng katta ikki xonali sonni ayiring va javobini yozing.,/question-assets/admission-2026/math/g2/q28.png,900,,0
Q26-MATH-G2-29,2,29,"Uchburchakni bitta uchi kesib tashlansa, qanday shakl hosil bo`ladi?",/question-assets/admission-2026/math/g2/q29.png,to'rtburchak,,0
Q26-MATH-G2-30,2,30,Tortni 8 bo`lakka bo`lish uchun necha marta kesiladi?,/question-assets/admission-2026/math/g2/q30.png,3,,0
Q26-MATH-G3-01,3,01,Har bir qo'ng'izning 6 ta oyog'i bor. Quyidagi rasmdagi qo'ng'izlarning jami oyoqlari soni nechta ?,/question-assets/admission-2026/math/g3/q01.png,18,,0
Q26-MATH-G3-02,3,02,Besh yuz yigirma sakkiz ming besh yuz so'm pul miqdori qanday yoziladi?,/question-assets/admission-2026/math/g3/q02.png,528500,,0
Q26-MATH-G3-03,3,03,"Quyida N soni berilgan bo'lib, N soni 89 va 45 ning ayirmasiga teng. N ni toping.",/question-assets/admission-2026/math/g3/q03.png,44,,0
Q26-MATH-G3-04,3,04,Rasmga e'tibor qiling. ▲ shakl qaysi katakda turibdi?,/question-assets/admission-2026/math/g3/q04.png,,,0
Q26-MATH-G3-05,3,05,"1429, 2287 va 1534 sonlarining yig'indisini toping.",/question-assets/admission-2026/math/g3/q05.png,5250,,0
Q26-MATH-G3-06,3,06,"Qutida 6 ta qizil, 10 ta ko'k va 4 ta sariq sharlar bor. Qutidan qaysi shar chiqishi imkonsiz?",/question-assets/admission-2026/math/g3/q06.png,,,0
Q26-MATH-G3-07,3,07,Har birida 5 ta ruchka bo'lgan 6 ta idishdagi ruchkalar har birida ___ ta ruchka bo'lgan 3 ta idishdagi ruchkalar soniga teng. Yetishmayotgan sonni toping.,/question-assets/admission-2026/math/g3/q07.png,10,,0
Q26-MATH-G3-08,3,08,Charos qutiga qaramasdan sharni olmoqchi. U olmoqchi bo'lgan shaklni qaysi qutidan olsa u xohlagan shakl chiqishi ehtimoli kattaroq?,/question-assets/admission-2026/math/g3/q08.png,,,0
Q26-MATH-G3-09,3,09,22 + 19 bilan bir xil qiymatga ega 20 + ? kabi yig'indidagi ? o'rnidagi sonni toping.,/question-assets/admission-2026/math/g3/q09.png,21,,0
Q26-MATH-G3-10,3,10,"Rahim yo'l ko'rsatkichi yonidan yo'lga chiqadi. U avval daryochaga bordi, so'ng orqaga qaytib kioskga bordi. U jami necha kilometr yo'l bosadi?",/question-assets/admission-2026/math/g3/q10.png,,,0
Q26-MATH-G3-11,3,11,Lobar qutiga 34 ta pirogni qutilarga solmoqda. Har bir qutiga 5 ta pirog sig'adi. Lobarga hamma piroglarni qutilarga solishi uchun jami nechta quti kerak?,/question-assets/admission-2026/math/g3/q11.png,7,,0
Q26-MATH-G3-12,3,12,Quyidagi sonlardan qaysi biri o'nlar xonasigacha yaxlitlanganda 90 ga teng bo'ladi? A) 69 B) 72 C) 76 D) 85,/question-assets/admission-2026/math/g3/q12.png,85,,0
Q26-MATH-G3-13,3,13,Quyidagi devordagi sonlar ma'lum bir qonuniyatga amal qiladi. Ba'zi sonlar yetishmayapti. X + Y ning qiymatini toping. A) 86 B) 115 C) 117 D) 118,/question-assets/admission-2026/math/g3/q13.png,,,0
Q26-MATH-G3-14,3,14,Quyidagi rasmda Avstraliyaning xaritasi keltirilgan. Quyidagilardan qaysi biri ushbu xaritaning simmetrik ko'rinishi bo'ladi?,/question-assets/admission-2026/math/g3/q14.png,,,0
Q26-MATH-G3-15,3,15,"Har bir juftlikdagi sonlar bir xil qoida asosida bog'langan. Yetishmayotgan sonni toping: [12, 5] [18, 8] [14, 6] [10, ?]",/question-assets/admission-2026/math/g3/q15.png,4,,0
Q26-MATH-G3-16,3,16,"Eni 10 cm, bo'yi 8 cm bo'lgan to'g'ri to'rtburchakning perimetri, kvadratning yuziga o’zaro teng. Ushbu kvadratning tomonini toping.",/question-assets/admission-2026/math/g3/q16.png,6,,0
Q26-MATH-G3-17,3,17,859 ga 3740 va 870 sonlari ayirmasini qo'shing.,/question-assets/admission-2026/math/g3/q17.png,3729,,0
Q26-MATH-G3-18,3,18,Diyorbek 22 yosh. Javohir Kamrandan 9 yosh katta va Azizbekdan 6 yosh katta. Kamron Diyorbekdan 8 yosh katta. Azizbek necha yoshda?,/question-assets/admission-2026/math/g3/q18.png,33,,0
Q26-MATH-G3-19,3,19,Ketma-ket kelgan 3 ta sonning ko'paytmasi quyidagilarning qaysi biriga bo'linmasligi mumkin? A) 6 B) 2 C) 9 D) 3,/question-assets/admission-2026/math/g3/q19.png,9,,0
Q26-MATH-G3-20,3,20,Quyidagi sonlardan qaysi biri 12 ga bo'linmaydi? A) 60 B) 28 C) 48 D) 72,/question-assets/admission-2026/math/g3/q20.png,28,,0
Q26-MATH-G3-21,3,21,"To'g'ri to'rtburchak perimetri 124 ga teng bo'lsa, uning turli tomonlari yig'indisini toping.",/question-assets/admission-2026/math/g3/q21.png,62,,0
Q26-MATH-G3-22,3,22,Quyida rasmda katta uchburchak perimetrini toping.,/question-assets/admission-2026/math/g3/q22.png,,,0
Q26-MATH-G3-23,3,23,"O'lchamlari 24 m, 30 m va 450 dm bo'lgan to'g'ri burchakli parallelepipedning hajmini toping.",/question-assets/admission-2026/math/g3/q23.png,32400,,0
Q26-MATH-G3-24,3,24,"Agar 6 · 30 = a , 6 · 4 = b bo'lsa, 6 · 26 = ___ ni toping.",/question-assets/admission-2026/math/g3/q24.png,156,,0
Q26-MATH-G3-25,3,25,” ? ” o'rnidagi sonni toping.,/question-assets/admission-2026/math/g3/q25.png,,,0
Q26-MATH-G3-26,3,26,"Kurant soati soat mili nechani ko'rsatsa, shuncha marta bong uradi. Bir sutkada kurant soati necha marta bong uradi?",/question-assets/admission-2026/math/g3/q26.png,312,,0
Q26-MATH-G3-27,3,27,Hisoblang: (31 · 9 - 754 : 29) · (1323 : 27 - 31),/question-assets/admission-2026/math/g3/q27.png,4554,,0
Q26-MATH-G3-28,3,28,3 ; 4 ; 1 ; 5 ; 7 ; 10 ; 8 ; 9 sonlar qatorida medianasini toping.,/question-assets/admission-2026/math/g3/q28.png,6,,0
Q26-MATH-G3-29,3,29,Qonuniyatni aniqlab ? o'rnidagi sonni toping:,/question-assets/admission-2026/math/g3/q29.png,,,0
Q26-MATH-G3-30,3,30,** IQ test,/question-assets/admission-2026/math/g3/q30.png,,,0
Q26-MATH-G4-01,4,01,▲ katta songa teng. Indira: ▲ : 777 ni to'g'ri hisoblaganda u 66 qoldiq bilan 888 degan javobni oladi. Qaysi amal ▲ ni beradi?,/question-assets/admission-2026/math/g4/q01.png,690042,,0
Q26-MATH-G4-02,4,02,Ikkita nuqtaning koordinatalari (10; 5) va (10; 3). Mana shu ikkita nuqtalarni tutashtiruvchi to'g'ri chiziqning uzunligini toping.,/question-assets/admission-2026/math/g4/q02.png,2,,0
Q26-MATH-G4-03,4,03,Quyidagi ketma-ketlikda tushirib qoldirilgan sonlarning yig'indisini toping: 15; 23; 31; ... ; ... ; 55; 63,/question-assets/admission-2026/math/g4/q03.png,86,,0
Q26-MATH-G4-04,4,04,Berilgan rasmda sport to'garagidagi har xil yoshdagi bolalarning soni ko'rsatilgan. Yosh gorizontal o'qda ko'rsatilgan. Bolalarning soni esa vertikal o'qda ko'rsatilgan. Nechta bola 12 yoshdan yoshroq?,/question-assets/admission-2026/math/g4/q04.png,,,0
Q26-MATH-G4-05,4,05,Umidda 7 kilogramm un bor. U unni imkoni boricha ko'proq tortlar tayyorlash uchun ishlatadi. U har bir tort uchun 400 gramm un ishlatadi. Qancha un qoladi?,/question-assets/admission-2026/math/g4/q05.png,200,,0
Q26-MATH-G4-06,4,06,Quyida tenglama berilgan: (P - 15) × 43 = 946 P ni topish uchun qaysi amal ishlatiladi?,/question-assets/admission-2026/math/g4/q06.png,37,,0
Q26-MATH-G4-07,4,07,Tenglamani yeching: (17 + x · x) · 6 = 18 · 71,/question-assets/admission-2026/math/g4/q07.png,14,,0
Q26-MATH-G4-08,4,08,"Agar A = 310 + 311 + 312 + ... + 320 va B = 110 + 111 + 112 + ... + 120 bo'lsa, A - B ifodaning son qiymatini toping.",/question-assets/admission-2026/math/g4/q08.png,2200,,0
Q26-MATH-G4-09,4,09,Fabrikada har 25 ta ishlab chiqaruvchi ishchiga 2 tadan nazoratchi bor. Fabrikada jami 300 ta ishlab chiqaruvchi ishchi bor. Fabrikada jami nechta nazoratchi bor?,/question-assets/admission-2026/math/g4/q09.png,24,,0
Q26-MATH-G4-10,4,10,Chizmada uzunligi 20 cm bo'lgan AB kesma teng 10 ta bo'lakka bo'lingan. CB - CD kesma uzunligi AB kesmaning qanday qismini tashkil qiladi?,/question-assets/admission-2026/math/g4/q10.png,,,0
Q26-MATH-G4-11,4,11,Kvadrat va teng tomonli uchburchakning perimetri bir xil. Teng tomonli uchburchakning bir tomoni uzunligi 36 cm ga teng. Kvadratning bir tomonining uzunligini hisoblang.,/question-assets/admission-2026/math/g4/q11.png,27,,0
Q26-MATH-G4-12,4,12,"▲ butun songa teng: ▲ : 12 = 144 bo'lganda, ▲ : 36 ni toping.",/question-assets/admission-2026/math/g4/q12.png,48,,0
Q26-MATH-G4-13,4,13,Quyida diagrammada kuboid tasvirlangan. Kuboidning barcha qirralari uzunligining yig'indisi nechiga teng? (kuboid: to'g'ri burchakli parallelepiped),/question-assets/admission-2026/math/g4/q13.png,,,0
Q26-MATH-G4-14,4,14,"Meva va sabzavotlar narxi quyidagicha: - 4 kg piyoz va 3 kg pomidorning narxi 1 kg banan narxiga teng; - 5 kg sabzi narxi 1 kg uzum narxiga teng; - piyoz pomidordan 6 marta arzon; - uzum olmadan 2 marta qimmat; - sabzi pomidordan 2 500 so'm arzon. Agar piyozning narxi 850 so'm bo'lsa, 1 kg olma va 1 kg bananning birgalikdagi narxini toping.",/question-assets/admission-2026/math/g4/q14.png,25200,,0
Q26-MATH-G4-15,4,15,Javlon 200 daqiqa ichida 60 000 metr masofani bosib o'tadi. Javlonning soatiga kilometrlardagi tezligini toping.,/question-assets/admission-2026/math/g4/q15.png,18,,0
Q26-MATH-G4-16,4,16,"Shokolad plitkasi bir xil bo'laklardan iborat. Sardor bu plitkani o'zicha hammaga bo'lib berdi. Avval 6 ta bo'lagini sindirib oyisiga, keyin 7 ta bo'lagini sindirib otasiga berdi (chizmada ko'rsatilganidek). Uning o'ziga nechta bo'lak qoldi?",/question-assets/admission-2026/math/g4/q16.png,,,0
Q26-MATH-G4-17,4,17,"Jamoa bir nechta o'yinlar o'ynadi. Jamoa o'yinda g'alaba qilganida, ular 3 ochkoni o'z hisobiga qo'shib qo'yishdi. Jamoa o'yinda yutqazganida, ular hisobidan 1 ochkoni olib tashlashdi. Boshida jamoaning hisobida 10 ochko bor edi. Oxirida esa ularning hisobida 24 ochko bo'ldi. Jamoa 4 ta o'yinda yutqazdi va qolgan barcha o'yinlarda g'alaba qildi. Nechta o'yinda jamoa g'alaba qildi?",/question-assets/admission-2026/math/g4/q17.png,6,,0
Q26-MATH-G4-18,4,18,"Quyidagi mulohazalarning to'g'ri (T) yoki noto'g'ri (N) ekanligini aniqlang: I. Agar ifodada bir yoki bir necha qavslar bo'lsa, dastlab qavslar ichidagi amallar, keyin qolgan amallar bajariladi. II. Harakat vaqtini topish uchun masofani tezlikka ko'paytirish kerak. III. Ikkita tomonining uzunliklari o'zaro teng bo'lmagan uchburchak turli tomonli uchburchak deb ataladi.",/question-assets/admission-2026/math/g4/q18.png,"T,N,N",,0
Q26-MATH-G4-19,4,19,"Sinfdagi barcha o'quvchilar tartib bilan qatorlarga o'tirib olishdi. Har bir qatordagi o'quvchilar soni bir xil. Suxrobning oldida 2 ta qator, orqasida esa 1 ta qator bor. Suxrob o'tirgan qatorda, uning chap tomonida 3 ta o'quvchi, o'ng tomonida esa 5 ta o'quvchi o'tiribdi. Sinfda jami nechta o'quvchi bor?",/question-assets/admission-2026/math/g4/q19.png,36,,0
Q26-MATH-G4-20,4,20,Turabbekning bir qop tangalari bor. Qopdagi tangalarning umumiy qiymati 14 000 so'm. Qopda faqat 200 so'mlik va 500 so'mlik tangalar bor. Qopdagi tangalarning aniq 25 tasi 200 so'mlik. Qopda nechta 500 so'mlik tangalar bor?,/question-assets/admission-2026/math/g4/q20.png,18,,0
Q26-MATH-G4-21,4,21,"Rasmda A, B va C idishlar suv bilan to'ldirilgan. Agar A idishdagi suv B idishdagi suvdan 4 marta ko'p bo'lsa, A idishdagi suv C idishdagi suvdan necha litr ko'p bo'ladi?",/question-assets/admission-2026/math/g4/q21.png,,,0
Q26-MATH-G4-22,4,22,O'ng tomondagi kvadrat jadvalda har bir kichik kvadratning yuzasi 1 cm² ga teng. Jadvalning bo'yalgan yuzasini hisoblang.,/question-assets/admission-2026/math/g4/q22.png,,,0
Q26-MATH-G4-23,4,23,Qutichada faqat sariq va yashil rangdagi konfetlar bor. Qutichadagi konfetlarning 1/4 qismi sariq rangda. Qutichada 36 ta yashil konfet bor. Qutichadagi jami konfetlar soni nechta?,/question-assets/admission-2026/math/g4/q23.png,48,,0
Q26-MATH-G4-24,4,24,Ikkita butun sonning ayirmasi 8 ga teng va o'sha ikkita sonning yig'indisi 30 ga teng. O'sha ikkita sonning ko'paytmasini toping.,/question-assets/admission-2026/math/g4/q24.png,209,,0
Q26-MATH-G4-25,4,25,"Ketma-ketlikning qonuniyatini aniqlab, so'roq belgisi o'rnidagi mos sonni toping:",/question-assets/admission-2026/math/g4/q25.png,,,0
Q26-MATH-G4-26,4,26,Hilola ketma-ketlikda butun sonlar ro'yxatini yozdi. Uning ro'yxatidagi oxirgi son uch xonali 114 soni edi. U jami 57 ta raqam yozdi. Uning ro'yxatidagi birinchi sonni toping.,/question-assets/admission-2026/math/g4/q26.png,94,,0
Q26-MATH-G4-27,4,27,"Kompyuter savodxonligi uchun informatika fanidan 75 ta o'quvchi test topshirishdi va unda o'quvchilar 0 dan 100 gacha bo'lgan ball bilan baholandi. Agar testda 25 nafar o'quvchi 84 dan yuqori yoki unga teng ball to'plagani ma'lum bo'lsa, barcha 75 nafar o'quvchining eng kichik o'rtacha bali qancha bo'ladi?",/question-assets/admission-2026/math/g4/q27.png,28,,0
Q26-MATH-G4-28,4,28,Salim va Jamshid 8 sekund davomida tekis aylana yo'lak bo'ylab poyga qilishadi. Har ikkalasi ham bir xil vaqtda va bir xil joyda boshlashadi. Quyida berilgan rasm ular yugurgan paytdagi masofani ko'rsatadi. Startdan boshlangan vaqt sekundlarda gorizontal o'qda ko'rsatilgan. Startdan boshlangan masofa metrlarda vertikal o'qda ko'rsatilgan. Poyga boshlangandan so'ng Salim va Jamshidning orasidagi aniq 4 sekund o'tgandagi masofani hisoblang.,/question-assets/admission-2026/math/g4/q28.png,,,0
Q26-MATH-G4-29,4,29,"Qonuniyatini aniqlab, so'roq belgisi o'rnidagi mos sonni toping:",/question-assets/admission-2026/math/g4/q29.png,,,0
Q26-MATH-G4-30,4,30,Birinchi qatordagi peshtaxtada ikkinchisiga qaraganda 2barobar ko`p shaftoli bor edi. Birinchi qatordan ikkinc hi qatorga 9 dona shaftoli ko`chirilgandan so`ng ikkala qatordagi shaftolilar soni bir xil bo`ldi. Dastlab har bir qatorda nechtadan shaftoli bor edi?,/question-assets/admission-2026/math/g4/q30.png,36 va 18,,0
Q26-MATH-G5-01,5,01,Raqamlari turlicha bo’lgan eng katta to’rt xonali sonni toping.,/question-assets/admission-2026/math/g5/q01.png,9876,,0
Q26-MATH-G5-02,5,02,Hisoblang:,/question-assets/admission-2026/math/g5/q02.png,,,0
Q26-MATH-G5-03,5,03,Tenglamani yeching 125+x=527,/question-assets/admission-2026/math/g5/q03.png,402,,0
Q26-MATH-G5-04,5,04,Hisoblang: 456 ∙ 24,/question-assets/admission-2026/math/g5/q04.png,10944,,0
Q26-MATH-G5-05,5,05,Amallarni bajaring: 18 − 12 : 2 + 5 • 3.,/question-assets/admission-2026/math/g5/q05.png,27,,0
Q26-MATH-G5-06,5,06,Hisoblang: 5 – 4 sm= sm ?,/question-assets/admission-2026/math/g5/q06.png,,,0
Q26-MATH-G5-07,5,07,Hisoblang: 17 kg – 110 gr = gr ?,/question-assets/admission-2026/math/g5/q07.png,16890,,0
Q26-MATH-G5-08,5,08,To’rt soat 10 minut necha minutdan iborat \ ?,/question-assets/admission-2026/math/g5/q08.png,250,,0
Q26-MATH-G5-09,5,09,Hisoblang: (7749 + 3658) – 1749,/question-assets/admission-2026/math/g5/q09.png,9658,,0
Q26-MATH-G5-10,5,10,Sonni raqamlarda yozing. 4 million 44 ming 44 .,/question-assets/admission-2026/math/g5/q10.png,4044044,,0
Q26-MATH-G5-11,5,11,Ustaxonada 60 ta stul va stullardan 5 marta kam stollar tayyorlandi. Hammasi bo‘lib nechta stol va stul tayyorlangan?,/question-assets/admission-2026/math/g5/q11.png,72,,0
Q26-MATH-G5-12,5,12,Elomonning akasi va singlisi bor. Uchalasining yoshini qo‘shib hisoblaganda 10 yosh. 2 yildan keyin ularning birgalikdagi yoshi qancha bo‘ladi?,/question-assets/admission-2026/math/g5/q12.png,16,,0
Q26-MATH-G5-13,5,13,Komputerda 3 dan 98 gacha bo‘lgan sonlar yozilganda 6 raqami tugmasi necha marta bosiladi?,/question-assets/admission-2026/math/g5/q13.png,20,,0
Q26-MATH-G5-14,5,14,Toʻgʻri chiziq boʻylab 40 ta ustun oʻrnatildi. Agar 1-va 7-ustunlar orasidagi masofa 18 m ga teng boʻlsa. 2- va 10-ustunlar orasidagi masofa necha metr?,/question-assets/admission-2026/math/g5/q14.png,24,,0
Q26-MATH-G5-15,5,15,Тomonlari 7 sm va 9 smdan iborat bo‘lgan to‘g‘ri to‘rtburchakning yuzini toping._,/question-assets/admission-2026/math/g5/q15.png,63,,0
Q26-MATH-G5-16,5,16,Usta 12 m² maydonni 1 soatda bo‘yaydi. U 720 m² yerni qancha minutda bo‘yaydi?,/question-assets/admission-2026/math/g5/q16.png,3600,,0
Q26-MATH-G5-17,5,17,"Harfli ifodaning qiymatini toping. , bunda y 4.",/question-assets/admission-2026/math/g5/q17.png,,,0
Q26-MATH-G5-18,5,18,"Agar yanvar oyida 5ta dushanba,5ta seshanba va 5ta chorshanba kelsa 1-fevral haftaning qaysi kuni?",/question-assets/admission-2026/math/g5/q18.png,payshanba,,0
Q26-MATH-G5-19,5,19,"Tumanda 3 ta, shaharda esa undan 4 marta ko‘p kutubxona bor. Shaharda nechta kutubxona bor?",/question-assets/admission-2026/math/g5/q19.png,12,,0
Q26-MATH-G5-20,5,20,Hisoblang: 17 km 608m -6km= m ?,/question-assets/admission-2026/math/g5/q20.png,11608,,0
Q26-MATH-G5-21,5,21,Sayyoh yo’lning qismini 60 minutda bosib o’tdi. So’ngra u tezligini uch marta oshirib harakat qildi. Sayyoh jami yo’lga necha minut vaqt sarladi?,/question-assets/admission-2026/math/g5/q21.png,,,0
Q26-MATH-G5-22,5,22,Quyidagi shakllardan qaysilarining perimetrlari teng?,/question-assets/admission-2026/math/g5/q22.png,,,0
Q26-MATH-G5-23,5,23,Tenglamani yeching: (4x + 324) · 5 = 2400,/question-assets/admission-2026/math/g5/q23.png,39,,0
Q26-MATH-G5-24,5,24,"Uch aka-ukaning umumiy og‘irligi 72 kg, bunda Sardorning og‘irligi ikki ukasining og‘irligiga teng. Sardorning og‘irligi necha kg?.",/question-assets/admission-2026/math/g5/q24.png,36,,0
Q26-MATH-G5-25,5,25,"Hozir 2023-yil, eng kamida necha yildan keyin yozuvida 0 raqami ishtirok etmagan yil bo’ladi?",/question-assets/admission-2026/math/g5/q25.png,88,,0
Q26-MATH-G5-26,5,26,"Onasi, otasi va qizi Ra'noning yoshini birga qo'shib hisoblaganda 71 yosh. Ra'no bilan onasi birga 37 yosh, Ra'no bilan otasi esa 42 yosh. Ra'noning yoshini aniqlang",/question-assets/admission-2026/math/g5/q26.png,8,,0
Q26-MATH-G5-27,5,27,"To’g’ri to’rtburchakning tomonlari 15 sm va 17 sm ga teng. Agar kvadratning yuzi ushbu to’g’ri to’rtburchak perimetriga teng bo’lsa, kvadratning perimetrini toping",/question-assets/admission-2026/math/g5/q27.png,32,,0
Q26-MATH-G5-28,5,28,Kesma uchta kesmaga bo'lingan. Chetki kesmalarning o'rtalari orasidagi masofa 35 sm ga teng. O'rtadagi kesmaning uzunligi esa 20 sm ga teng. Berilgan kesmaning uzunligini toping,/question-assets/admission-2026/math/g5/q28.png,50,,0
Q26-MATH-G5-29,5,29,"Kitob sahifalarini nomerlash uchun 940 ta raqam ishlatilgan. Sahifalarni nomerlash 3-sahifadan 3 raqami bilan boshlangan bo’lsa, kitob necha sahifadan iborat?",/question-assets/admission-2026/math/g5/q29.png,350,,0
Q26-MATH-G5-30,5,30,"Begzod biror son o'yladi. Uni 7 ga bo'ladi, natijaga 7 qo'shadi va natijani yana 7 ga ko'paytiradi. U 777 sonini oladi. U qaysi sonni o'ylagan?",/question-assets/admission-2026/math/g5/q30.png,728,,0
Q26-MATH-G6-01,6,01,457 856 145 sonining o’nlar xonasidagi raqam bilan yuz minglar xonasidagi raqam ko’paytmasini toping?,/question-assets/admission-2026/math/g6/q01.png,32,,0
Q26-MATH-G6-02,6,02,Hisoblang:,/question-assets/admission-2026/math/g6/q02.png,1234,,0
Q26-MATH-G6-03,6,03,1 soat 35 minut + 14 soat 56 minut ni hisoblang?,/question-assets/admission-2026/math/g6/q03.png,16 soat 31 minut,,0
Q26-MATH-G6-04,6,04,187 ≤ 18a tengsizlik qanoatlantiradigan barcha a larning yig’indisini toping,/question-assets/admission-2026/math/g6/q04.png,24,,0
Q26-MATH-G6-05,6,05,"Rasmdagi stakanlarning suvlar farqi 108 gramm bo’lsa, ikkinchi stakan to’lishi uchun qancha suv quyish kerak?",/question-assets/admission-2026/math/g6/q05.png,162,,0
Q26-MATH-G6-06,6,06,"Anvar Nodirdan 3 yosh katta, lekin Botirdan 8 yosh kichik. Ularning eng yoshi kattasi kim?",/question-assets/admission-2026/math/g6/q06.png,Botir,,0
Q26-MATH-G6-07,6,07,"Quyidagi sonlardan nechtasini o’nlar xonasigacha yaxlitlaganda kamayadi? 459 784, 124 524, 1256, 7458",/question-assets/admission-2026/math/g6/q07.png,2,,0
Q26-MATH-G6-08,6,08,"C nuqta A va B nuqtalar o’rtasida joylashgan bo’lib, A nuqtaning koordinatasi 32 bo’lib, B nuqtaning koordinatasi 54 bo’lsa, C nuqtaning koordinatasini toping.",/question-assets/admission-2026/math/g6/q08.png,43,C=43||C = 43,0
